,year,city_code,product_type,product,destinated_area
0,2019-01-01,0307883b5d063703,temporary,Temporary-other,13.42
1,2019-01-01,0307883b5d063703,permanent,Palm oil,0.0
2,2018-01-01,0307883b5d063703,temporary,Beans,25.0
3,2019-01-01,0307883b5d063703,temporary,Beans,25.0
4,2018-01-01,0307883b5d063703,temporary,Corn,50.0
5,2019-01-01,0307883b5d063703,temporary,Corn,50.0
6,2018-01-01,0307883b5d063703,temporary,Temporary-other,13.42
7,2018-01-01,0307883b5d063703,pasture,Livestock,8852.72856622
8,2019-01-01,0307883b5d063703,pasture,Livestock,8852.72856622
9,2019-01-01,0307883b5d063703,temporary,Cassava,117.18
10,2018-01-01,0307883b5d063703,temporary,Rice,25.0
11,2018-01-01,0307883b5d063703,permanent,Permanent-other,72.72
12,2019-01-01,0307883b5d063703,permanent,Permanent-other,72.72
13,2018-01-01,0307883b5d063703,permanent,Cocoa,0.0
14,2019-01-01,0307883b5d063703,permanent,Cocoa,0.0
15,2018-01-01,0307883b5d063703,temporary,Soy,0.0
16,2019-01-01,0307883b5d063703,temporary,Soy,0.0
17,2018-01-01,0307883b5d063703,permanent,Açaí,53.88
18,2019-01-01,0307883b5d063703,permanent,Açaí,53.88
19,2019-01-01,0307883b5d063703,temporary,Rice,25.0
20,2018-01-01,0307883b5d063703,temporary,Cassava,117.18
21,2018-01-01,0307883b5d063703,permanent,Palm oil,0.0
22,2019-01-01,0307883b5d063703,temporary,Sorghum,0.0
23,2018-01-01,0307883b5d063703,temporary,Sorghum,0.0
24,2018-01-01,03e477d4ede00e89,temporary,Beans,113.9
25,2018-01-01,03e477d4ede00e89,permanent,Palm oil,18.0
26,2019-01-01,03e477d4ede00e89,temporary,Sorghum,0.0
27,2018-01-01,03e477d4ede00e89,temporary,Sorghum,0.0
28,2019-01-01,03e477d4ede00e89,permanent,Açaí,18.6
29,2018-01-01,03e477d4ede00e89,permanent,Açaí,18.6
30,2019-01-01,03e477d4ede00e89,temporary,Soy,0.0
31,2018-01-01,03e477d4ede00e89,temporary,Soy,0.0
32,2019-01-01,03e477d4ede00e89,temporary,Beans,113.9
33,2018-01-01,03e477d4ede00e89,permanent,Cocoa,0.0
34,2019-01-01,03e477d4ede00e89,permanent,Permanent-other,628.9
35,2018-01-01,03e477d4ede00e89,permanent,Permanent-other,628.9
36,2019-01-01,03e477d4ede00e89,permanent,Cocoa,0.0
37,2019-01-01,03e477d4ede00e89,temporary,Rice,10.58636363636364
38,2019-01-01,03e477d4ede00e89,permanent,Palm oil,18.0
39,2019-01-01,03e477d4ede00e89,temporary,Cassava,923.0
40,2018-01-01,03e477d4ede00e89,temporary,Corn,213.2
41,2019-01-01,03e477d4ede00e89,temporary,Corn,213.2
42,2018-01-01,03e477d4ede00e89,temporary,Cassava,923.0
43,2019-01-01,03e477d4ede00e89,temporary,Temporary-other,3.46
44,2018-01-01,03e477d4ede00e89,pasture,Livestock,34791.62414320004
45,2019-01-01,03e477d4ede00e89,pasture,Livestock,34791.62414320004
46,2018-01-01,03e477d4ede00e89,temporary,Rice,10.58636363636364
47,2018-01-01,03e477d4ede00e89,temporary,Temporary-other,3.46
48,2018-01-01,051e9cc7d7636816,temporary,Rice,30.18
49,2018-01-01,051e9cc7d7636816,permanent,Palm oil,0.0
50,2019-01-01,051e9cc7d7636816,permanent,Palm oil,0.0
51,2018-01-01,051e9cc7d7636816,temporary,Beans,5.15
52,2019-01-01,051e9cc7d7636816,temporary,Beans,5.15
53,2018-01-01,051e9cc7d7636816,temporary,Corn,15.15
54,2019-01-01,051e9cc7d7636816,temporary,Corn,15.15
55,2018-01-01,051e9cc7d7636816,temporary,Temporary-other,24.19
56,2018-01-01,051e9cc7d7636816,pasture,Livestock,1117.851282877998
57,2019-01-01,051e9cc7d7636816,temporary,Rice,30.18
58,2019-01-01,051e9cc7d7636816,pasture,Livestock,1117.851282877998
