,year,city_code,product_type,product,destinated_area
0,1985-01-01,960b4f2c94a2fb2c,pasture,Livestock,20960.60904
1,1986-01-01,960b4f2c94a2fb2c,pasture,Livestock,10813.07188
2,1987-01-01,960b4f2c94a2fb2c,pasture,Livestock,15996.71607
3,1988-01-01,960b4f2c94a2fb2c,pasture,Livestock,19146.77781
4,1989-01-01,960b4f2c94a2fb2c,pasture,Livestock,18236.4193
5,1990-01-01,960b4f2c94a2fb2c,pasture,Livestock,17412.80124
6,1991-01-01,960b4f2c94a2fb2c,pasture,Livestock,17441.02597
7,1992-01-01,960b4f2c94a2fb2c,pasture,Livestock,16564.89129
8,1993-01-01,960b4f2c94a2fb2c,pasture,Livestock,20344.20877
9,1994-01-01,960b4f2c94a2fb2c,pasture,Livestock,19887.15117
10,1995-01-01,960b4f2c94a2fb2c,pasture,Livestock,21641.96757
11,1996-01-01,960b4f2c94a2fb2c,pasture,Livestock,22220.97626
12,1997-01-01,960b4f2c94a2fb2c,pasture,Livestock,21374.25094
13,1998-01-01,960b4f2c94a2fb2c,pasture,Livestock,24567.74154
14,1999-01-01,960b4f2c94a2fb2c,pasture,Livestock,22812.91522
15,2000-01-01,960b4f2c94a2fb2c,pasture,Livestock,20299.45308
16,2001-01-01,960b4f2c94a2fb2c,pasture,Livestock,17768.2846
17,2002-01-01,960b4f2c94a2fb2c,pasture,Livestock,18115.79418
18,2003-01-01,960b4f2c94a2fb2c,pasture,Livestock,18158.68548
19,2004-01-01,960b4f2c94a2fb2c,pasture,Livestock,17779.79166
20,2005-01-01,960b4f2c94a2fb2c,pasture,Livestock,17646.79134
21,2006-01-01,960b4f2c94a2fb2c,pasture,Livestock,17402.99508
22,2007-01-01,960b4f2c94a2fb2c,pasture,Livestock,18165.63072
23,2008-01-01,960b4f2c94a2fb2c,pasture,Livestock,20515.7874
24,2009-01-01,960b4f2c94a2fb2c,pasture,Livestock,23149.47289
25,2010-01-01,960b4f2c94a2fb2c,pasture,Livestock,21752.91603
26,2011-01-01,960b4f2c94a2fb2c,pasture,Livestock,20103.04173
27,2012-01-01,960b4f2c94a2fb2c,pasture,Livestock,18045.80016
28,2013-01-01,960b4f2c94a2fb2c,pasture,Livestock,19478.74047
29,2014-01-01,960b4f2c94a2fb2c,pasture,Livestock,22061.94931
30,2015-01-01,960b4f2c94a2fb2c,pasture,Livestock,22269.63005
31,2016-01-01,960b4f2c94a2fb2c,pasture,Livestock,21935.18713
32,2017-01-01,960b4f2c94a2fb2c,pasture,Livestock,22709.20348
33,1985-01-01,746cc42bfb8f6b62,pasture,Livestock,34162.8217
34,1986-01-01,746cc42bfb8f6b62,pasture,Livestock,34135.67594
35,1987-01-01,746cc42bfb8f6b62,pasture,Livestock,36934.66527
36,1988-01-01,746cc42bfb8f6b62,pasture,Livestock,38452.33808
